time,open,high,low,close,diff,%,,,
2011/6/27,57.5,59.8,57.2,59.7,2.2,0.038,2%,128,128
2011/7/4,59.9,60.7,59.75,60.05,0.15,0.003,1%,238,110
2011/7/11,59.85,59.95,58.45,59.2,-0.65,-0.011,0%,392,154
2011/7/18,59.15,61.15,58.4,61,1.85,0.031,-1%,531,139
2011/7/25,60.5,61.45,59.9,59.9,-0.6,-0.01,-2%,612,81
2011/8/1,60.5,60.5,54.45,54.45,-6.05,-0.1,,91,91
2011/8/8,54.3,54.85,50.4,53.55,-0.75,-0.014,,,
2011/8/15,54.2,55,51.1,51.1,-3.1,-0.057,,,
2011/8/22,51.3,53.4,51.05,53.05,1.75,0.034,,,
2011/8/29,53.1,56.1,53.1,55.15,2.05,0.039,,,
2011/9/5,53.95,54.75,52.3,54.15,0.2,0.004,,,
2011/9/12,53.6,54.15,51.3,54.1,0.5,0.009,,,
2011/9/19,53.85,53.95,49.93,50.35,-3.5,-0.065,,,
2011/9/26,50.25,51.9,49.3,51.65,1.4,0.028,,,
2011/10/3,50.75,52.15,49.5,51.55,0.8,0.016,,,
2011/10/10,52.75,53.2,52.45,52.45,-0.3,-0.006,,,
2011/10/17,53.1,53.45,51.55,51.95,-1.15,-0.022,,,
2011/10/24,52.45,53.7,51.3,52.4,-0.05,-0.001,,,
2011/10/31,52.8,52.95,51.45,52.3,-0.5,-0.009,,,
2011/11/7,52.3,52.85,50.2,50.9,-1.4,-0.027,,,
2011/11/14,51.75,52.3,50.25,50.3,-1.45,-0.028,,,
2011/11/21,49.9,49.9,47.05,47.44,-2.46,-0.049,,,
2011/11/28,48.08,50.6,47.75,49.82,1.74,0.036,,,
2011/12/5,49.82,49.82,48,48.24,-1.58,-0.032,,,
2011/12/12,48.94,49.09,47.45,47.7,-1.24,-0.025,,,
2011/12/19,47.4,50.25,46.61,50,2.6,0.055,,,
2011/12/26,50,50.15,49.22,49.81,-0.19,-0.004,,,
2012/1/2,49.45,50.25,48.94,50,0.55,0.011,,,
2012/1/9,49.9,51.25,49.63,50.85,0.95,0.019,,,
2012/1/16,51.05,51.1,49.75,50.4,-0.65,-0.013,,,
2012/1/30,51.4,53.05,51.4,53.05,1.65,0.032,,,
2012/2/6,53.5,54.55,53.05,53.95,0.45,0.008,,,
2012/2/13,54,55.2,53.6,54.75,0.75,0.014,,,
2012/2/20,54.8,55.1,54,54.75,-0.05,-0.001,,,
2012/2/27,55.25,56.2,55.25,55.6,0.35,0.006,,,
2012/3/5,55.3,55.35,54,54.95,-0.35,-0.006,,,
2012/3/12,55,56.2,54.35,55.4,0.4,0.007,,,
2012/3/19,55.45,55.75,54.7,55.45,0,0,,,
2012/3/26,55,55.85,54.2,54.9,-0.1,-0.002,,,
2012/4/2,54.9,54.9,53.05,53.75,-1.15,-0.021,,,
2012/4/9,53,54.05,52.7,53.95,0.95,0.018,,,
2012/4/16,53.45,53.9,52.3,52.35,-1.1,-0.021,,,
2012/4/23,52.3,53.05,51.85,52.2,-0.1,-0.002,,,
2012/4/30,52.1,53.35,51.65,53.2,1.1,0.021,,,
2012/5/7,52.45,52.45,51.05,51.15,-1.3,-0.025,,,
2012/5/14,51.3,51.3,49.62,49.67,-1.63,-0.032,,,
2012/5/21,49.95,50.4,48.95,49.01,-0.94,-0.019,,,
2012/5/28,49.01,50.8,48.85,49.15,0.14,0.003,,,
2012/6/4,48.2,49.12,47.45,48,-0.2,-0.004,,,
2012/6/11,48.86,49.4,48.1,49.4,0.54,0.011,,,
2012/6/18,50.4,50.5,49.2,49.56,-0.84,-0.017,,,
2012/6/25,49.04,50.3,48.85,50.2,1.16,0.024,,,
2012/7/2,50.5,51.75,50.3,51,0.5,0.01,,,
2012/7/9,50.8,51.05,49.35,49.5,-1.3,-0.026,,,
2012/7/16,49.75,50.3,49.18,50.15,0.4,0.008,,,
2012/7/23,49.65,49.95,48.51,49.92,0.27,0.005,,,
2012/7/30,50,51.3,50,50.9,0.9,0.018,,,
2012/8/6,51.9,53.05,51.4,52.8,0.9,0.017,,,
2012/8/13,53,53.55,52.95,52.95,-0.05,-0.001,,,
2012/8/20,52.85,53.8,52.55,53.1,0.25,0.005,,,
2012/8/27,53.45,53.55,52.4,52.75,-0.7,-0.013,,,
2012/9/3,52.7,53.3,51.9,52.95,0.25,0.005,,,
2012/9/10,52.95,55.6,52.9,55.5,2.55,0.048,,,
2012/9/17,55.5,55.8,55.1,55.45,-0.05,-0.001,,,
